SUBSTATION_VOLTAGE,SYS_NAME,EXISTING_GEN,QUEUED_GEN,TOTAL_GEN,PROJECTED_LOAD,PENETRATION_LEVEL,MAX_REMAIN_CAP,PERCENT_15_CAP,NOTE,CIRCUIT_ID,CIRCUIT_NAME,CIRCUIT_VOLTAGE,SUB_NAME,OBJECTID,Shape__Length
66/12 kV,Chino 220/66 System,0.778,0.005,0.783,8.75,9.18,9.2,0.51,Interconnection studies in this area have identified adequate deliverability.,2171298,Finishline,12,Trophy,1011,40576.5836890541
66/4.16 kV,Del Amo 220/66 System,0.209,0,0.209,2.3,9.84,2.07,0.12,Interconnection studies in this area have identified adequate deliverability.,2171290,Faculty,4,Lucas,1012,14276.4118579171
66/12 kV,Del Amo 220/66 System,0.489,0.066,0.555,4.59,11.19,9.49,0.17,Interconnection studies in this area have identified adequate deliverability.,2171291,Fagan,12,Greening,1013,31226.4100933304
66/12 kV,Padua 220/66 System,2.175,0,2.175,10,0,10,1.5,Interconnection studies in this area have identified adequate deliverability.,2171292,Fairplex,12,Layfair,1014,47322.2652588357
66/12 kV,Viejo 220/66 System,1.258,0,1.258,6.98,7.33,9.49,0.54,Interconnection studies in this area have identified adequate deliverability.,2158259,Firme,12,Viejo,1015,45507.6155535427
66/16 kV,La Fresa 220/66 System,0.037,0,0.037,8.73,0.43,13.16,1.27,Interconnection studies in this area have identified adequate deliverability.,2171489,Firmona,16,La Fresa,1016,28247.5949211028
66/16 kV,La Fresa 220/66 System,0.21,0,0.21,13.2,3.64,12.72,1.5,Interconnection studies in this area have identified adequate deliverability.,2171490,Firethorn,16,Torrance,1017,62674.5809840309
66/12 kV,Hinson 220/66 System,0,0,0,4.15,0,10,0.62,Interconnection studies in this area have identified adequate deliverability.,2171491,Firth,12,Los Cerritos,1018,3476.25405643713
66/12 kV,Padua 220/66 System,0.515,0,0.515,6,9.02,9.46,0.36,Interconnection studies in this area have identified adequate deliverability.,2158260,Fittipaldi,12,Cucamonga,1019,31987.0272905342
66/12 kV,Viejo 220/66 System,0.962,0,0.962,6.93,8.11,9.44,0.48,Interconnection studies in this area have identified adequate deliverability.,2151855,Fizz,12,Chiquita,1020,65487.1091366326
66/4.16 kV,Goleta 220/66 System,0.037,0,0.037,0.83,6.74,2.24,0.07,Interconnection studies in this area have identified adequate deliverability.,2151661,Fair Acres,4,Santa Barbara,1021,19095.0884608975
12/4.16 kV,Del Amo 220/66 System,0.095,0,0.095,0.82,11.58,2.2,0.03,Interconnection studies in this area have identified adequate deliverability.,2151856,Flagstone,4,Flagstone P.T.,1022,3280.48025617762
33/12 kV,Vista 220/115 System,0.256,0,0.256,2.68,9.54,9.74,0.15,Interconnection studies in this area have identified adequate deliverability.,2151308,Flabob,12,Rubidoux,1023,25993.3043374312
115/12 kV,Valley 'D' 500/115 System,2.108,0.016,2.125,10,22.42,7.76,0,Deliverability in this area has not been determined by previous interconnection studies.,2151479,Flagstaff,12,Elsinore,1024,51559.2276790807
115/12 kV,Vista 220/115 System,1.531,0.041,1.572,9.09,18.25,8.34,0,Interconnection studies in this area have identified adequate deliverability.,2151480,Flake,12,Maxwell,1025,36902.2472579568
16/4.16 kV,Gould 220/66 System,0.179,0,0.179,1.65,13.17,2.08,0.03,Interconnection studies in this area have identified adequate deliverability.,2171493,Flanders,4,La Canada,1026,21371.2274943552
66/12 kV,Chino 220/66 System,1.137,0,1.137,9.55,11.9,8.86,0.3,Interconnection studies in this area have identified adequate deliverability.,2158261,Flame,12,Firehouse,1027,40719.6722242486
115/12 kV,Valley 'Ab' 500/115 System,2.265,0.028,2.293,10,23.37,7.66,0,Deliverability in this area has not been determined by previous interconnection studies.,2151481,Ros,12,Valley,1028,83475.6598081269
66/4.16 kV,La Fresa 220/66 System,0.063,0,0.063,1.61,3.93,2.24,0.18,Interconnection studies in this area have identified adequate deliverability.,2150954,Fairbanks,4,Yukon,1029,24988.0381226967
66/16 kV,El Nido 220/66 System,0.402,0.005,0.407,9.67,3.9,12.82,1.07,Interconnection studies in this area have identified adequate deliverability.,2150955,Fairhaven,16,Inglewood,1030,97173.6724186196
66/12 kV,Lighthipe 220/66 System,0.522,0,0.522,7.24,7.35,9.47,0.55,Interconnection studies in this area have identified adequate deliverability.,2151482,Flagg,12,Sunnyside,1031,35951.7814322818
66/12 kV,Lighthipe 220/66 System,0.367,0,0.367,7.52,5.01,9.62,0.75,Interconnection studies in this area have identified adequate deliverability.,2151483,Flask,12,Lighthipe,1032,48697.9037231723
66/12 kV,Vista A 220/66 System,3.246,0,3.246,9.3,28.69,7.33,0,Interconnection studies in this area have identified adequate deliverability.,2152045,Flatcar,12,Bloomington,1033,96082.3815134233
33/12 kV,Vista 220/115 System,0.937,1.11,2.047,9.99,14.04,8.6,0.1,Interconnection studies in this area have identified adequate deliverability.,2158262,Fleetwood,12,West Riverside,1034,69642.7768134115
66/12 kV,Lighthipe 220/66 System,0.04,0,0.04,6.26,0.65,9.96,0.9,Interconnection studies in this area have identified adequate deliverability.,2150957,Fairman,12,Sunnyside,1035,43370.9692270353
66/12 kV,Antelope 220/66 System,1.013,0,1.013,1.29,124.88,8.39,0,Interconnection studies in this area have identified adequate deliverability.,2150958,Fairmont,12,Del Sur,1036,151051.941152806
12/4.16 kV,Alamitos 220/66 System,0.019,0,0.019,1.01,1.83,2.28,0.13,Interconnection studies in this area have identified adequate deliverability.,2157862,Falcon,4,Bixby,1037,5023.21058619685
66/12 kV,Center 220/66 System,0.376,0.03,0.406,7.64,6.24,9.52,0.67,Interconnection studies in this area have identified adequate deliverability.,2156740,Gaspar,12,Gallatin,1038,25646.8521669719
12/4.16 kV,Chino 220/66 System,0.024,0,0.024,1.21,1.99,2.28,0.16,Interconnection studies in this area have identified adequate deliverability.,2157865,Fallis,4,Ontario,1039,15673.9145974634
66/12 kV,Padua 220/66 System,1.447,0.016,1.463,9.12,17.18,8.43,0,Interconnection studies in this area have identified adequate deliverability.,2151122,Fano,12,Padua,1040,48350.0300892043
66/12 kV,Center 220/66 System,6.537,0,6.537,6.33,43.01,7.28,0,Interconnection studies in this area have identified adequate deliverability.,2158263,Fleming,12,Imperial,1041,42670.476462878
115/12 kV,Devers 220/115 System,0.722,0.009,0.731,7.23,10.3,9.25,0.34,Deliverability in this area has not been determined by previous interconnection studies.,2171494,Flight,12,Eisenhower,1042,40076.4017773539
66/12 kV,Barre 220/66 System,0.674,0.079,0.753,8.12,12.23,9.01,0.22,Interconnection studies in this area have identified adequate deliverability.,2171495,Flint,12,Trask,1043,53217.09237967
16/4.16 kV,Gould 220/66 System,0.163,0.011,0.173,2.3,7.87,2.12,0.16,Interconnection studies in this area have identified adequate deliverability.,2171496,Flintridge,4,La Canada,1044,26738.619772223
66/16 kV,Mesa 220/66 System,1.023,0.705,1.728,10.47,10.54,12.1,0.47,Interconnection studies in this area have identified adequate deliverability.,2152047,Floral,16,Repetto,1045,69625.3941521496
66/16 kV,La Cienega 220/66 System,0,0,0,8.47,0,13.2,1.27,Interconnection studies in this area have identified adequate deliverability.,2151123,Fantail,16,Tahiti,1046,75284.7095598931
66/4.16 kV,Alamitos 220/66 System,0.479,0.01,0.489,2.3,23.76,1.75,0,Interconnection studies in this area have identified adequate deliverability.,2151124,Fanwood,4,Clark,1047,23699.6770532424
66/12 kV,Hinson 220/66 System,0,0.045,0.045,2.13,3.07,9.93,0.25,Interconnection studies in this area have identified adequate deliverability.,2152215,Forest,12,State Street,1048,26182.9731748435
66/12 kV,Santiago 220/66 System,0.264,0,0.264,7.22,3.87,9.72,0.8,Interconnection studies in this area have identified adequate deliverability.,2159517,Forint,12,Santiago,1049,30863.2345861785
66/16 kV,Eagle Rock 220/66 System,0.041,0.008,0.049,7.75,0.66,13.15,1.11,Interconnection studies in this area have identified adequate deliverability.,2152216,Formosa,16,Fairfax,1050,26191.5760887908
66/12 kV,Chino 220/66 System,2.041,0.005,2.045,9.08,24.47,7.78,0,Interconnection studies in this area have identified adequate deliverability.,2152040,Fortress,12,Kimball,1051,100964.096181062
66/12 kV,Barre 220/66 System,0.839,0.01,0.849,7.78,4.87,9.62,0.79,Interconnection studies in this area have identified adequate deliverability.,2159681,Foxglove,12,Barre,1052,53033.7271325304
16/4.16 kV,Goleta 220/66 System,0.106,0,0.106,1.34,8.1,2.19,0.09,Interconnection studies in this area have identified adequate deliverability.,2159682,Fox,4,Modoc,1053,26106.0861786375
115/12 kV,Valley 'D' 500/115 System,3.64,0.028,3.668,9.67,36.27,6.49,0,Deliverability in this area has not been determined by previous interconnection studies.,2151125,Farmington,12,Newcomb,1054,116967.510592485
66/12 kV,Antelope 220/66 System,1.88,0.019,1.899,10,20.03,8,0,Interconnection studies in this area have identified adequate deliverability.,2151126,Farms,12,Oasis,1055,49864.5537092714
66/12 kV,Santiago 220/66 System,0.233,0,0.233,8.97,0.26,9.98,1.32,Interconnection studies in this area have identified adequate deliverability.,2151662,Farallon,12,Crown,1056,41316.8269475977
66/12 kV,Johanna 220/66 System,0.31,0,0.31,2.78,1.43,9.96,0.38,Interconnection studies in this area have identified adequate deliverability.,2171293,Faro,12,Johanna,1057,10866.9633372628
66/12 kV,Padua 220/66 System,0.596,0.01,0.606,10,6.07,9.39,0.89,Interconnection studies in this area have identified adequate deliverability.,2159683,Foyt,12,Cucamonga,1058,61352.5051280427
66/4.16 kV,Springville 220/66 System,0.261,0,0.261,2.22,12.47,2.02,0.06,Interconnection studies in this area have identified inadequate deliverability.,2159684,Frame,4,Porterville,1059,12294.2705107549
66/12 kV,Santiago 220/66 System,0.411,0.914,1.324,8.52,16.49,8.59,0,Interconnection studies in this area have identified adequate deliverability.,2152042,Franc,12,Santiago,1060,37776.3402850659
66/16 kV,La Cienega 220/66 System,0.132,0.066,0.198,7.04,0.94,13.13,0.99,Interconnection studies in this area have identified adequate deliverability.,2152389,Franklin,16,Colorado,1061,19401.6372220815
115/12 kV,Victor 220/115 System,1.415,0.008,1.422,5.03,29.19,8.53,0,Interconnection studies in this area have identified adequate deliverability.,2151663,Fargo,12,Hesperia,1062,99087.8193824529
66/12 kV,Santiago 220/66 System,0,0,0,2.75,29.8,9.18,0,Interconnection studies in this area have identified adequate deliverability.,2157867,Farthing,12,Santiago,1063,13269.1295466139
66/16 kV,Goleta 220/66 System,0.692,0,0.692,5.99,15.05,12.3,0,Interconnection studies in this area have identified adequate deliverability.,2152390,Fraternity,16,Isla Vista,1064,44015.1305478244
66/12 kV,Rector 220/66 System,1.118,0.018,1.136,7.65,15.9,8.78,0,Interconnection studies in this area have identified inadequate deliverability.,2152043,Freedom,12,Liberty,1065,59317.5358326867
12/4.16 kV,Lighthipe 220/66 System,0.126,0,0.126,1.5,8.83,2.17,0.09,Interconnection studies in this area have identified adequate deliverability.,2152391,Freeland,4,Oldfield,1066,9654.87162701865
66/12 kV,Hinson 220/66 System,0,0,0,0.37,0,10,0.06,Interconnection studies in this area have identified adequate deliverability.,2171295,Fashion,12,Pico,1067,10795.3246428158
66/4.16 kV,Alamitos 220/66 System,0.284,0,0.284,1.93,15.95,1.99,0,Interconnection studies in this area have identified adequate deliverability.,2171296,Faust,4,Clark,1068,9962.01624074226
66/12 kV,Vestal 220/66 System,0.939,0,0.939,1.89,49.85,9.06,0,Interconnection studies in this area have identified inadequate deliverability.,2171297,Faye,12,Weldon,1069,126240.79227666
115/12 kV,Victor 220/115 System,3.056,0.01,3.066,10,40.62,5.94,0,Interconnection studies in this area have identified adequate deliverability.,2151857,Floodgate,12,Aqueduct,1070,130207.182459958
66/12 kV,Johanna 220/66 System,0.041,0,0.041,4.32,0.94,9.96,0.61,Interconnection studies in this area have identified adequate deliverability.,2171497,Flores,12,Fairview,1071,31984.0248115316
66/16 kV,Laguna Bell Ab 220/66 System,0.131,0,0.131,13.2,4.56,12.6,1.38,Interconnection studies in this area have identified adequate deliverability.,2171498,Florence,16,Cudahy,1072,83676.3326454167
66/12 kV,Olinda 220/66 System,0.641,0.023,0.664,8.82,2.33,9.79,1.12,Interconnection studies in this area have identified adequate deliverability.,2171679,Florida,12,Carolina,1073,38101.6297017733
66/16 kV,La Cienega 220/66 System,0,0,0,2.61,0,13.2,0.39,Interconnection studies in this area have identified adequate deliverability.,2151127,Federal,16,Sawtelle,1074,11221.4425769703
66/16 kV,La Fresa 220/66 System,1.304,0.052,1.356,9.46,14.96,11.78,0,Interconnection studies in this area have identified adequate deliverability.,2157868,Feldspar,16,Crest,1075,95689.2136013715
66/12 kV,Hinson 220/66 System,0.229,0,0.229,5.29,4.42,9.77,0.56,Interconnection studies in this area have identified adequate deliverability.,2151664,Felix,12,Los Cerritos,1076,25766.9931857238
66/12 kV,Rector 220/66 System,0.653,0.042,0.694,8.47,8.63,9.27,0.54,Interconnection studies in this area have identified inadequate deliverability.,2171680,Florinda,12,Hanford,1077,52867.0266146554
66/12 kV,Springville 220/66 System,0.071,0,0.071,4.33,1.64,9.93,0.58,Interconnection studies in this area have identified inadequate deliverability.,2158265,Flory,12,Woodville,1078,98257.4300964957
12/4.16 kV,Johanna 220/66 System,0.107,0.004,0.111,1.16,9.51,2.19,0.06,Interconnection studies in this area have identified adequate deliverability.,2152048,Flower,4,Edinger,1079,8949.30447760337
115/12 kV,Victor 220/115 System,2.528,2.407,4.935,8.75,56.93,5.02,0,Interconnection studies in this area have identified adequate deliverability.,2174968,Flue,12,Aqueduct,1080,130979.502718176
66/12 kV,Ellis 'A' 220/66 System,0.208,0,0.208,2.74,7.68,9.79,0.2,Interconnection studies in this area have identified adequate deliverability.,2151665,Feller,12,Hamilton,1081,23794.6752230521
16/4.16 kV,Goleta 220/66 System,0.262,0,0.262,1.12,22.33,2.05,0,Interconnection studies in this area have identified adequate deliverability.,2151666,Fellowship,4,Playa,1082,13680.9564811231
12/4.16 kV,Del Amo 220/66 System,0.217,0,0.217,2.3,9.79,2.07,0.12,Interconnection studies in this area have identified adequate deliverability.,2151849,Ferina,4,Woodruff,1083,24344.7602333188
66/12 kV,Santiago 220/66 System,0.327,0,0.327,7.22,3.91,9.72,0.8,Interconnection studies in this area have identified adequate deliverability.,2175159,Flute,12,Niguel,1084,39584.0041101344
66/12 kV,Windhub 220/66 System,0.051,0,0.051,0.78,6.56,9.95,0.07,Interconnection studies in this area have identified adequate deliverability.,2151858,Flying D,12,Havilah,1085,185473.076064249
66/16 kV,Santa Clara 220/66 System,2.241,0.164,2.405,11.38,8.46,12.24,0.74,Interconnection studies in this area have identified adequate deliverability.,2152209,Flynn,16,Camarillo,1086,117577.623088855
66/16 kV,La Fresa 220/66 System,0.015,0,0.015,3.23,0.45,13.19,0.47,Interconnection studies in this area have identified adequate deliverability.,2159509,Flywheel,16,Ditmar,1087,24333.2967180404
66/12 kV,Chino 220/66 System,0.549,0,0.549,6.19,11.08,9.31,0.24,Interconnection studies in this area have identified adequate deliverability.,2151851,Fernstrom,12,Ganesha,1088,70851.4634446579
66/12 kV,Etiwanda 220/66 System,0.547,0,0.547,7.29,14.43,8.95,0.04,Interconnection studies in this area have identified adequate deliverability.,2151852,Feron,12,Archline,1089,33728.9314590056
66/12 kV,Padua 220/66 System,0.836,0.025,0.861,9.64,9.58,9.08,0.52,Interconnection studies in this area have identified adequate deliverability.,2158059,Ferrara,12,Padua,1090,135480.01408219
66/12 kV,Rector 220/66 System,1.429,0.009,1.438,8.73,20.6,8.2,0,Interconnection studies in this area have identified inadequate deliverability.,2152210,Fogg,12,Tulare,1091,174432.795616254
66/12 kV,Walnut 220/66 System,0.245,0,0.245,5.74,4.27,9.76,0.62,Interconnection studies in this area have identified adequate deliverability.,2159510,Folger,12,Bassett,1092,30538.7805168405
66/12 kV,Olinda 220/66 System,0.331,0.416,0.747,7.38,8.9,9.34,0.45,Interconnection studies in this area have identified adequate deliverability.,2152211,Fonda,12,La Habra,1093,48310.6944266287
16/4.16 kV,Mesa 220/66 System,0.026,0,0.026,1.17,2.27,2.27,0.15,Interconnection studies in this area have identified adequate deliverability.,2151128,Fetterly,4,Amalia,1094,8627.99466204612
115/12 kV,Devers 220/115 System,2.933,0.005,2.938,10,30.78,6.92,0,Deliverability in this area has not been determined by previous interconnection studies.,2158060,Fey,12,Farrell,1095,42941.2659939739
66/4.16 kV,Hinson 220/66 System,0.12,0,0.12,1.42,9.26,2.17,0.08,Interconnection studies in this area have identified adequate deliverability.,2151299,Fiat,4,Neptune,1096,12705.2275096357
115/33 kV,Vista 220/115 System,0,0,0,18.9,0,27,2.83,Interconnection studies in this area have identified adequate deliverability.,2159511,Fonri,33,Calectric,1097,50564.342155394
66/12 kV,Alamitos 220/66 System,0.28,0.6,0.88,6.74,4.32,9.71,0.72,Interconnection studies in this area have identified adequate deliverability.,2152212,Foote,12,Stadium,1098,44649.1634013738
115/12 kV,Valley 'D' 500/115 System,0.018,0,0.018,1.05,1.68,9.98,0.14,Deliverability in this area has not been determined by previous interconnection studies.,2159512,Football,12,Stadler,1099,16306.1039489206
66/12 kV,Padua 220/66 System,1.131,0,1.131,8.84,13.29,8.83,0.15,Interconnection studies in this area have identified adequate deliverability.,2159513,Foothill,12,San Dimas,1100,48969.6960715649
66/4.16 kV,Laguna Bell Ab 220/66 System,0,0,0,0.75,0.28,2.3,0.11,Interconnection studies in this area have identified adequate deliverability.,2147409,Clara,4,Cudahy,1101,11255.0906130695
66/12 kV,Villa Park 220/66 System,1.575,0.013,1.589,10,19.19,8.08,0,Interconnection studies in this area have identified adequate deliverability.,2151119,Fairway,12,Villa Park,1102,41427.1196984859
66/12 kV,Del Amo 220/66 System,0.446,0.008,0.453,7.39,6.32,9.53,0.64,Interconnection studies in this area have identified adequate deliverability.,2151120,Fallon,12,Eric,1103,27783.8429424356
12/4.16 kV,Del Amo 220/66 System,0.141,0,0.141,1.93,8.47,2.14,0.13,Interconnection studies in this area have identified adequate deliverability.,2158062,Fidler,4,Hedda,1104,18130.6723344831
66/12 kV,Etiwanda 220/66 System,15.539,0,15.539,9.03,45.73,5.87,0,Interconnection studies in this area have identified adequate deliverability.,2158063,Fields,12,Etiwanda,1105,49177.1958866494
66/12 kV,Antelope 220/66 System,1.091,0,1.091,4.55,89.93,5.9,0,Interconnection studies in this area have identified adequate deliverability.,2152213,Forage,12,Piute,1106,136069.824095854
66/12 kV,Padua 220/66 System,1.242,0,1.242,7.46,17.79,8.67,0,Interconnection studies in this area have identified adequate deliverability.,2159514,Forbes,12,Live Oak,1107,50366.3770666423
66/16 kV,Mesa 220/66 System,0.167,0,0.167,11.81,1.55,13.02,1.59,Interconnection studies in this area have identified adequate deliverability.,2152214,Forbid,16,Rush,1108,61339.5830841853
66/12 kV,Antelope 220/66 System,1.668,0.005,1.673,8.6,20.17,8.27,0,Interconnection studies in this area have identified adequate deliverability.,2159515,Force,12,Shuttle,1109,30359.8306481857
66/12 kV,Viejo 220/66 System,1.045,0.034,1.079,8.55,13.07,8.88,0.17,Interconnection studies in this area have identified adequate deliverability.,2175161,Fogcutter,12,Chiquita,1110,26192.7181226231
66/12 kV,Walnut 220/66 System,0.871,0.008,0.879,8.29,11.24,9.07,0.31,Interconnection studies in this area have identified adequate deliverability.,2151300,Fieldgate,12,Walnut,1111,54089.175538601
66/4.16 kV,Rio Hondo 220/66 System,0.144,0,0.144,2.3,6.26,2.16,0.2,Interconnection studies in this area have identified adequate deliverability.,2158064,Fiesta,4,Anita,1112,18043.6438774015
66/16 kV,Santa Clara 220/66 System,4.712,10,14.712,13.2,96.01,0.53,0,Interconnection studies in this area have identified adequate deliverability.,2151301,Fifth St.,16,Colonia,1113,91119.1652523904
66/16 kV,Mesa 220/66 System,0.076,0,0.076,11.67,0.65,13.12,1.67,Interconnection studies in this area have identified adequate deliverability.,2161531,Gleason,16,Repetto,1114,60147.3809728214
16/4.16 kV,Lighthipe 220/66 System,0.138,0,0.138,2.3,6.98,2.14,0.18,Interconnection studies in this area have identified adequate deliverability.,2161532,Glencoe,4,Longdon,1115,17921.3891895689
66/4.16 kV,Mesa 220/66 System,0.023,0.181,0.204,1.88,10.87,2.1,0.08,Interconnection studies in this area have identified adequate deliverability.,2161533,Glendon,4,Ramona,1116,13230.7917532648
66/12 kV,Chino 220/66 System,0.259,0.134,0.393,8.56,4.7,9.6,0.88,Interconnection studies in this area have identified adequate deliverability.,2157132,Glen Ridge,12,Peyton,1117,40477.6479586832
66/12 kV,Padua 220/66 System,0.538,0,0.538,4.85,11.18,9.46,0.19,Interconnection studies in this area have identified adequate deliverability.,2145147,Doane,12,San Antonio,1118,21625.1077640309
66/4.16 kV,Mesa 220/66 System,0.169,0,0.169,2.28,9.76,2.08,0.12,Interconnection studies in this area have identified adequate deliverability.,2166855,Dobbins,4,San Gabriel,1119,15550.8288988451
66/12 kV,Santiago 220/66 System,0.462,0,0.462,9.31,5.2,9.52,0.91,Interconnection studies in this area have identified adequate deliverability.,2166856,Dober,12,Moulton,1120,44206.708248814
66/12 kV,San Bernardino 220/66 System,0.304,0,0.304,5.67,5.78,9.67,0.52,Interconnection studies in this area have identified adequate deliverability.,2145148,Doctors,12,Timoteo,1121,41663.8311862049
16/4.16 kV,El Nido 220/66 System,0.076,0.003,0.08,1.65,4.97,2.22,0.17,Interconnection studies in this area have identified adequate deliverability.,2159685,Freeman,4,Lawndale,1122,17797.3092988691
66/16 kV,Laguna Bell Ab 220/66 System,0.897,0,0.897,8.7,10.38,12.3,0.4,Interconnection studies in this area have identified adequate deliverability.,2166857,Dodge,16,Laguna Bell,1123,55421.7705101152
66/12 kV,Del Amo 220/66 System,3.914,4.24,8.154,7.62,6.35,9.52,0.66,Interconnection studies in this area have identified adequate deliverability.,2145319,Doe,12,La Mirada,1124,52100.2947025793
66/16 kV,La Fresa 220/66 System,0.227,0.52,0.747,11.81,1.83,12.98,1.56,Interconnection studies in this area have identified adequate deliverability.,2166858,Dogwood,16,Torrance,1125,70526.7053911952
66/4.16 kV,Mesa 220/66 System,0.016,0,0.016,1.96,0.83,2.28,0.28,Interconnection studies in this area have identified adequate deliverability.,2159687,Fremont,4,Garfield,1126,13779.2562957614
115/12 kV,Victor 220/115 System,0.374,0.41,0.784,7.52,10.62,9.2,0.33,Interconnection studies in this area have identified adequate deliverability.,2152392,Freightliner,12,Roadway,1127,93699.3731265335
66/12 kV,Center 220/66 System,0.067,0,0.067,8.6,3.11,9.73,1.02,Interconnection studies in this area have identified adequate deliverability.,2159871,Friends,12,Santa Fe Springs,1128,46009.0718911658
12/4.16 kV,Center 220/66 System,0.098,0,0.098,2.3,4.63,2.19,0.24,Interconnection studies in this area have identified adequate deliverability.,2146483,Dohn,4,Pioneer,1129,21693.0088999302
66/12 kV,Center 220/66 System,0.458,0.004,0.462,9.67,4.92,9.52,0.97,Interconnection studies in this area have identified adequate deliverability.,2167029,Dolan,12,Santa Fe Springs,1130,44226.4580182459
66/4.16 kV,Eagle Rock 220/66 System,0,0.004,0.004,1.23,0.35,2.3,0.18,Interconnection studies in this area have identified adequate deliverability.,2146484,Dolgeville,4,Alhambra,1131,10500.997205891
66/12 kV,Etiwanda 220/66 System,1.33,0.009,1.34,8.49,17.4,8.52,0,Interconnection studies in this area have identified adequate deliverability.,2152044,Frisbie,12,Alder,1132,56269.2652636074
115/33 kV,Kramer 220/115 System,0.791,0,0.791,14.43,5.48,26.21,1.37,Interconnection studies in this area have identified inadequate deliverability.,2159872,Frito,33,Tortilla,1133,22605.9657044465
115/12 kV,Victor 220/115 System,0.394,0,0.394,9.72,4.22,9.59,1.05,Interconnection studies in this area have identified adequate deliverability.,2152566,Frontage,12,Savage,1134,92154.3394967861
66/12 kV,San Bernardino 220/66 System,0.981,0.019,1,9.45,11.39,8.92,0.34,Interconnection studies in this area have identified adequate deliverability.,2159873,Frost,12,Redlands,1135,46807.047625649
115/12 kV,Valley 'Ab' 500/115 System,0.92,0.014,0.934,9.25,10.35,9.04,0.43,Deliverability in this area has not been determined by previous interconnection studies.,2152567,Fruitvale,12,Nelson,1136,24936.8285226058
12/4.16 kV,Lighthipe 220/66 System,0.287,0.009,0.296,2.3,14.55,1.97,0.01,Interconnection studies in this area have identified adequate deliverability.,2167030,Dollar,4,Oldfield,1137,16427.7766645279
16/4.16 kV,Gould 220/66 System,0.131,0,0.131,1.34,10.06,2.16,0.07,Interconnection studies in this area have identified adequate deliverability.,2149587,Dolores,4,Dolores P.T.,1138,5236.29771761837
16/4.16 kV,Santa Clara 220/66 System,0,0,0,0.3,0,2.3,0.04,Interconnection studies in this area have identified adequate deliverability.,2167031,Dolphin,4,Dolphin P.T.,1139,16648.5175407154
66/12 kV,Vista A 220/66 System,0.21,0,0.21,5.79,4.63,9.73,0.6,Interconnection studies in this area have identified adequate deliverability.,2146485,Domic,12,Colton,1140,116229.220592501
66/12 kV,Hinson 220/66 System,0.023,0,0.023,3.44,1.12,9.96,0.48,Interconnection studies in this area have identified adequate deliverability.,2152394,Fry,12,Watson,1141,29085.6906817241
66/4.16 kV,Laguna Bell De 220/66 System,0.032,0,0.032,1.1,2.95,2.27,0.13,Interconnection studies in this area have identified adequate deliverability.,2152395,Fudge,4,Fruitland,1142,16165.4053860314
66/12 kV,Walnut 220/66 System,0.587,1.14,1.727,8.76,33.04,7.11,0,Interconnection studies in this area have identified adequate deliverability.,2152396,Fuerte,12,Nogales,1143,52043.7461570568
66/12 kV,Vestal 220/66 System,0.739,0,0.739,4.85,15.23,9.26,0,Interconnection studies in this area have identified inadequate deliverability.,2159874,Fugate,12,Browning,1144,126601.457822506
33/12 kV,Kramer 220/115 System,0.014,0,0.014,0.57,2.49,9.99,0.07,Interconnection studies in this area have identified inadequate deliverability.,2146486,Domeland,12,Domeland P.T.,1145,15797.8446455539
