SAP Substation Name,LCR Area,City served,Division,Owner
BLUE LAKE SUB,Humboldt,McKinleyville,HUMBOLDT,PGE
BLUE LAKE SUB,Humboldt,Blue Lake,HUMBOLDT,PGE
BLUFORD CREEK HYDRO,Humboldt,Humboldt County,HUMBOLDT,nonPGE
BOGUE SUB,Sierra,Yuba City,SIERRA,PGE
BOGUE SUB,Sierra,South Yuba City,SIERRA,PGE
BOLINAS SUB,North Coast/North Bay,Stinson Beach,NORTH BAY,PGE
BOLINAS SUB,North Coast/North Bay,Bolinas,NORTH BAY,PGE
BOLTHOUSE FARMS SUB,Kern,Kern County,KERN,nonPGE
BONITA SUB,Greater Fresno,Madera,YOSEMITE,PGE
BONNIE NOOK SUB,Sierra,Dutch Flat,SIERRA,PGE
BORDEN SUB,Greater Fresno,Parkwood,YOSEMITE,PGE
BORDEN SUB,Greater Fresno,Parksdale,YOSEMITE,PGE
BORDEN SUB,Greater Fresno,Madera,YOSEMITE,PGE
BORDEN SUB,Greater Fresno,Fresno,YOSEMITE,PGE
BORDEN SUB,Greater Fresno,Bonadelle Ranchos-Madera Ranchos,YOSEMITE,PGE
BOSTON SUB,Greater Bay Area,Oakland,EAST BAY,PGE
BOSWELL SUB,Greater Fresno,Corcoran,FRESNO,PGE
BOSWELL TOMATO PLANT SUB,Greater Fresno,Kings County,FRESNO,nonPGE
BOWLES SUB,Greater Fresno,Easton,FRESNO,PGE
BOWLES SUB,Greater Fresno,Bowles,FRESNO,PGE
BRENTWOOD SUB,Greater Bay Area,Oakley,DIABLO,PGE
BRENTWOOD SUB,Greater Bay Area,Knightsen,DIABLO,PGE
BRENTWOOD SUB,Greater Bay Area,Discovery Bay,DIABLO,PGE
BRENTWOOD SUB,Greater Bay Area,Byron,DIABLO,PGE
BRENTWOOD SUB,Greater Bay Area,Brentwood,DIABLO,PGE
BRENTWOOD SUB,Greater Bay Area,Bethel Island,DIABLO,PGE
BRIDGEVILLE SUB,Humboldt,Bridgeville,HUMBOLDT,PGE
BRIGHTON SUB,Sierra,Sacramento,SACRAMENTO,PGE
BRITTON SUB,Greater Bay Area,Sunnyvale,DE ANZA,PGE
BRITTON SUB,Greater Bay Area,Santa Clara,DE ANZA,PGE
BROOKSIDE SUB,Greater Bay Area,San Pablo,EAST BAY,PGE
BROOKSIDE SUB,Greater Bay Area,Richmond,EAST BAY,PGE
BROWNS VALLEY SUB,Sierra,Loma Rica,SIERRA,PGE
BRUNSWICK SUB,Sierra,Nevada City,SIERRA,PGE
BRUNSWICK SUB,Sierra,Grass Valley,SIERRA,PGE
BRUNSWICK SUB,Sierra,Alta Sierra,SIERRA,PGE
BRYANT SUB,Greater Bay Area,Orinda,DIABLO,PGE
BUCKS CREEK SUB,Sierra,Tobin,NORTH VALLEY,PGE
BUCKS CREEK SUB,Sierra,Storrie,NORTH VALLEY,PGE
BUCKS CREEK SUB,Sierra,Caribou,NORTH VALLEY,PGE
BUCKS CREEK SUB,Sierra,Bucks Lake,NORTH VALLEY,PGE
BUCKS CREEK SUB,Sierra,Belden,NORTH VALLEY,PGE
BULLARD SUB,Greater Fresno,Fresno,FRESNO,PGE
BULLARD SUB,Greater Fresno,Clovis,FRESNO,PGE
BURLINGAME SUB,Greater Bay Area,Hillsborough,PENINSULA,PGE
BURLINGAME SUB,Greater Bay Area,Burlingame,PENINSULA,PGE
BURNS SUB,Greater Bay Area,Santa Cruz,CENTRAL COAST,PGE
CAL CEDAR SUB,Stockton,Stockton,STOCKTON,nonPGE
CAL WATER SUB,Kern,Bakersfield,KERN,nonPGE
CALERO SUB,Greater Bay Area,San Jose,SAN JOSE,PGE
CALFLAX SUB,Greater Fresno,Huron,FRESNO,nonPGE
CALIFORNIA AVE SUB,Greater Fresno,Fresno,FRESNO,PGE
CALIFORNIA DAIRIES (DANISH CREAMERY) SUB,Greater Fresno,Fresno County,FRESNO,nonPGE
CALISTOGA SUB,North Coast/North Bay,Calistoga,NORTH BAY,PGE
CALPEAK PANOCHE IPP SUB,Greater Fresno,Fresno County,FRESNO,nonPGE
CALPELLA SUB,North Coast/North Bay,Calpella,NORTH COAST,PGE
CALVO SUB,Stockton,Tracy,STOCKTON,PGE
CAMANCHE PP SUB,Stockton,Lockeford,STOCKTON,nonPGE
CAMDEN SUB,Greater Fresno,Riverdale,FRESNO,PGE
CAMDEN SUB,Greater Fresno,Laton,FRESNO,PGE
CAMDEN SUB,Greater Fresno,Lanare,FRESNO,PGE
CAMP FAR WEST,Sierra,Lincoln,SIERRA,nonPGE
CANAL SUB,Greater Fresno,Los Banos,YOSEMITE,PGE
CANANDAIGUA WINERY SUB,Greater Fresno,Madera County,FRESNO,nonPGE
CANDLEWICK DIXIE YARN SUB,Greater Fresno,Lemoore,FRESNO,nonPGE
CANTUA SUB,Greater Fresno,Cantua Creek,FRESNO,PGE
CAPE HORN SUB,Sierra,Colfax,SIERRA,nonPGE
CARBONA SUB,Stockton,Tracy,STOCKTON,PGE
CARGILL SUB,Stockton,Kennedy,STOCKTON,nonPGE
CARLOTTA SUB,Humboldt,Hydesville,HUMBOLDT,PGE
CARLOTTA SUB,Humboldt,Fortuna,HUMBOLDT,PGE
CARNATION DAIRY SUB,Kern,Bakersfield,KERN,PGE
CAROLANDS SUB,Greater Bay Area,San Mateo,PENINSULA,PGE
CAROLANDS SUB,Greater Bay Area,Hillsborough,PENINSULA,PGE
CAROLANDS SUB,Greater Bay Area,Burlingame,PENINSULA,PGE
CARQUINEZ SUB,North Coast/North Bay,Vallejo,NORTH BAY,PGE
CARUTHERS SUB,Greater Fresno,Caruthers,FRESNO,PGE
CASSIDY SUB,Greater Fresno,Fresno,YOSEMITE,PGE
CASSIDY SUB,Greater Fresno,Bonadelle Ranchos-Madera Ranchos,YOSEMITE,PGE
CASTLE SUB,Greater Fresno,Merced,FRESNO,nonPGE
CASTRO SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE
CASTRO VALLEY SUB,Greater Bay Area,Union City,MISSION,PGE
CASTRO VALLEY SUB,Greater Bay Area,Hayward,MISSION,PGE
CASTRO VALLEY SUB,Greater Bay Area,Fairview,MISSION,PGE
CASTRO VALLEY SUB,Greater Bay Area,Cherryland,MISSION,PGE
CASTRO VALLEY SUB,Greater Bay Area,Castro Valley,MISSION,PGE
CASTRO VALLEY SUB,Greater Bay Area,Ashland,MISSION,PGE
CATLETT SUB,Sierra,Pleasant Grove,SIERRA,PGE
CAWELO B SUB,Kern,Famosa,KERN,PGE
CAWELO C SUB,Kern,Famosa,KERN,PGE
CAYETANO SUB,Greater Bay Area,Livermore,MISSION,PGE
CERTAINTEED SUB,Greater Fresno,Madera County,FRESNO,nonPGE
CHALLENGE SUB,Sierra,Challenge,NORTH VALLEY,PGE
CHALLENGE SUB,Sierra,Little Grass Valley,NORTH VALLEY,PGE
CHALLENGE SUB,Sierra,La Porte,NORTH VALLEY,PGE
CHALLENGE SUB,Sierra,Brownsville,NORTH VALLEY,PGE
CHANNEL SUB,Stockton,Stockton,STOCKTON,PGE
CHANNEL SUB,Stockton,Country Club,STOCKTON,PGE
CHENEY SUB,Greater Fresno,Mendota,YOSEMITE,PGE
CHEROKEE SUB,Stockton,August,STOCKTON,PGE
CHERRY SUB,Greater Bay Area,San Leandro,MISSION,PGE
CHEVRON PIPELINE KETTLEMAN SUB,Greater Fresno,Kings County,FRESNO,nonPGE
CHEVRON PIPELINE LOS BANOS SUB,Greater Fresno,Merced County,FRESNO,nonPGE
CHILI BAR PH,Sierra,El Dorafo County,SIERRA,PGE
CHOWCHILLA #2 NEO SUB,Greater Fresno,Madera County,FRESNO,PGE
CHOWCHILLA #3 CO-GEN SJVE SUB,Greater Fresno,Madera County,FRESNO,PGE
CHOWCHILLA SUB,Greater Fresno,Chowchilla,YOSEMITE,PGE
CHRISTIE SUB,Greater Bay Area,Hercules,DIABLO,PGE
City of HEALDSBURG SUB,North Coast/North Bay,Healdsburg,NORTH COAST,PGE
CLARKSVILLE SUB,Sierra,Folsom,SIERRA,PGE
CLARKSVILLE SUB,Sierra,El Dorado Hills,SIERRA,PGE
CLARKSVILLE SUB,Sierra,Cameron Park,SIERRA,PGE
CLAYTON SUB,Greater Bay Area,Walnut Creek,DIABLO,PGE
CLAYTON SUB,Greater Bay Area,Concord,DIABLO,PGE
CLAYTON SUB,Greater Bay Area,Clayton,DIABLO,PGE
CLAYTON SUB,Greater Bay Area,Alamo,DIABLO,PGE
CLEAR LAKE SUB,North Coast/North Bay,Lakeport,NORTH COAST,PGE
CLEAR LAKE SUB,North Coast/North Bay,Kelseyville,NORTH COAST,PGE
CLOVERDALE SUB,North Coast/North Bay,Cloverdale,NORTH COAST,PGE
CLOVIS SUB,Greater Fresno,Fresno,FRESNO,PGE
CLOVIS SUB,Greater Fresno,Clovis,FRESNO,PGE
COALINGA NO.1 SUB,Greater Fresno,Coalinga,FRESNO,PGE
COALINGA NO.2 SUB,Greater Fresno,Coalinga,FRESNO,PGE
COARSEGOLD SUB,Greater Fresno,Yosemite Lakes,YOSEMITE,PGE
COARSEGOLD SUB,Greater Fresno,Oakhurst,YOSEMITE,PGE
COLGATE SUB,Sierra,Dobbins,SIERRA,PGE
COLONY SUB,Stockton,Lockeford,STOCKTON,PGE
COLUMBIA HILL SUB,Sierra,Sweetland,SIERRA,PGE
COLUMBUS SUB,Kern,Bakersfield,KERN,PGE
CONCORD SUB,Greater Bay Area,Concord,DIABLO,PGE
CONTADINA SUB,Greater Fresno,Fresno County,FRESNO,nonPGE
CONTRA COSTA PP SUB,Greater Bay Area,Antioch,DIABLO,nonPGE
CONTRA COSTA SUB,Greater Bay Area,Oakley,DIABLO,PGE
CONTRA COSTA SUB,Greater Bay Area,Brentwood,DIABLO,PGE
CONTRA COSTA SUB,Greater Bay Area,Antioch,DIABLO,PGE
COOLEY LANDING SUB,Greater Bay Area,Palo Alto,PENINSULA,PGE
COPPERMINE SUB,Greater Fresno,Clovis,FRESNO,PGE
COPUS SUB,Kern,Bakersfield,KERN,PGE
CORCORAN SUB,Greater Fresno,Corcoran,FRESNO,PGE
CORONA SUB,North Coast/North Bay,Petaluma,NORTH COAST,PGE
COTATI SUB,North Coast/North Bay,Tomales,NORTH COAST,PGE
COTATI SUB,North Coast/North Bay,Rohnert Park,NORTH COAST,PGE
COTATI SUB,North Coast/North Bay,Dillon Beach,NORTH COAST,PGE
COTATI SUB,North Coast/North Bay,Cotati,NORTH COAST,PGE
COTATI SUB,North Coast/North Bay,Bodega Bay,NORTH COAST,PGE
COVELO SUB,North Coast/North Bay,Covelo,NORTH COAST,PGE
CPM SUB,Sierra,Clarksville,SIERRA,nonPGE
CRESSEY SUB,Greater Fresno,Winton,YOSEMITE,PGE
CRESSEY SUB,Greater Fresno,Livingston,YOSEMITE,PGE
CRESTA PH SUB,Sierra,Concow,NORTH VALLEY,PGE
CROCKETT SUB,Greater Bay Area,Crockett,EAST BAY,PGE
CROW CREEK SW STA,Stockton,Stomar,STOCKTON,PGE
CROWS LANDING SUB,Stockton,Crows Landing,YOSEMITE,PGE
CRUSHER SUB,Greater Bay Area,Bonny Doon,CENTRAL COAST,PGE
CRYSTAL SPRINGS SUB,Greater Bay Area,San Mateo,PENINSULA,PGE
CURTIS SUB,Stockton,Tuolumne City,YOSEMITE,PGE
CURTIS SUB,Stockton,Soulsbyville,YOSEMITE,PGE
CURTIS SUB,Stockton,Sonora,YOSEMITE,PGE
CURTIS SUB,Stockton,Phoenix Lake-Cedar Ridge,YOSEMITE,PGE
CURTIS SUB,Stockton,Mono Vista,YOSEMITE,PGE
CURTIS SUB,Stockton,Jamestown,YOSEMITE,PGE
CURTIS SUB,Stockton,Groveland-Big Oak Flat,YOSEMITE,PGE
CURTIS SUB,Stockton,East Sonora,YOSEMITE,PGE
CURTIS SUB,Stockton,Columbia,YOSEMITE,PGE
DAIRYLAND SUB,Greater Fresno,Chowchilla,YOSEMITE,PGE
DALY CITY SUB,Greater Bay Area,South San Francisco,PENINSULA,PGE
DALY CITY SUB,Greater Bay Area,San Francisco,PENINSULA,PGE
DALY CITY SUB,Greater Bay Area,Pacifica,PENINSULA,PGE
DALY CITY SUB,Greater Bay Area,Daly City,PENINSULA,PGE
DALY CITY SUB,Greater Bay Area,Colma,PENINSULA,PGE
DALY CITY SUB,Greater Bay Area,Broadmoor,PENINSULA,PGE
DANA SUB,Stockton,French Camp,STOCKTON,nonPGE
DAVIS SUB,Sierra,Davis,SACRAMENTO,nonPGE
DE FRANCESCO SUB,Greater Fresno,Fresno County,FRESNO,PGE
DEADWOOD CREEK,Sierra,Concow,NORTH VALLEY,nonPGE
DEEPWATER SUB,Sierra,West Sacramento,SACRAMENTO,PGE
DEER CREEK PH,Sierra,Nevada County,SIERRA,PGE
DEL MAR SUB,Sierra,Rocklin,SIERRA,PGE
DEL MAR SUB,Sierra,Loomis,SIERRA,PGE
DEL MAR SUB,Sierra,Lincoln,SIERRA,PGE
DELTA SWITCHING YARD,Greater Bay Area,,,
DEL MAR SUB,Sierra,Granite Bay,SIERRA,PGE
DERRICK SUB,Greater Fresno,Kettleman,KERN,nonPGE
DEXZEL SUB,Kern,Kern County,KERN,nonPGE
DIAMOND SPRINGS SUB,Sierra,Placerville,SIERRA,PGE
DIAMOND SPRINGS SUB,Sierra,Diamond Springs,SIERRA,PGE
DIAMOND SUB,Stockton,Kennedy,STOCKTON,nonPGE
DINOSAUR POINT SUB,Greater Fresno,Merced County,FRESNO,PGE
DINUBA ENERGY SUB,Greater Fresno,Reedley,FRESNO,nonPGE
DINUBA ENERGY SUB,Greater Fresno,London,FRESNO,nonPGE
DINUBA ENERGY SUB,Greater Fresno,Dinuba,FRESNO,nonPGE
DISCOVERY CHEVRON SUB,Kern,Kern County,KERN,nonPGE
DIXON LANDING SUB,Greater Bay Area,Milpitas,MISSION,PGE
DIXON LANDING SUB,Greater Bay Area,Fremont,MISSION,PGE
DIXON LANDING SUB,Greater Bay Area,San Jose,SAN JOSE,PGE
DIXON LANDING SUB,Greater Bay Area,Milpitas,SAN JOSE,PGE
DOBBINS SUB,Sierra,Dobbins,SIERRA,PGE
DOLE PACKAGED FROZEN FOODS INC SUB,Greater Fresno,Merced County,FRESNO,nonPGE
DOS PALOS SUB,Greater Fresno,South Dos Palos,YOSEMITE,PGE
DOS PALOS SUB,Greater Fresno,Dos Palos,YOSEMITE,PGE
DOUBLE C SUB,Kern,Kern County,KERN,nonPGE
DOW CHEMICAL METERING SUB,Greater Bay Area,Pittsburg,DIABLO,nonPGE
DOWNIEVILLE DIESEL SUB,Sierra,Loyalton,SIERRA,PGE
DRUM PH #1 SUB,Sierra,Colfax,SIERRA,PGE
DUMBARTON SUB,Greater Bay Area,Union City,MISSION,PGE
DUMBARTON SUB,Greater Bay Area,Newark,MISSION,PGE
DUMBARTON SUB,Greater Bay Area,Hayward,MISSION,PGE
DUMBARTON SUB,Greater Bay Area,Fremont,MISSION,PGE
DUNBAR SUB,North Coast/North Bay,Santa Rosa,NORTH COAST,PGE
DUNBAR SUB,North Coast/North Bay,Glen Ellen,NORTH COAST,PGE
DUNBAR SUB,North Coast/North Bay,Fetters Hot Springs-Agua Caliente,NORTH COAST,PGE
DUNBAR SUB,North Coast/North Bay,Eldridge,NORTH COAST,PGE
DUNBAR SUB,North Coast/North Bay,Boyes Hot Springs,NORTH COAST,PGE
DUNLAP SUB,Greater Fresno,Squaw Valley,FRESNO,PGE
DUTCH FLAT #1 PH,Sierra,Colfax,SIERRA,PGE
EAGLE ROCK SUB,North Coast/North Bay,Geysers,NORTH COAST,PGE
EAST BANK SUB,Greater Fresno,Fresno County,FRESNO,nonPGE
EAST GRAND SUB,Greater Bay Area,South San Francisco,PENINSULA,PGE
EAST GRAND SUB,Greater Bay Area,San Bruno,PENINSULA,PGE
EAST GRAND SUB,Greater Bay Area,Colma,PENINSULA,PGE
EAST GRAND SUB,Greater Bay Area,Brisbane,PENINSULA,PGE
EAST MARYSVILLE SUB,Sierra,Yuba City,SIERRA,PGE
EAST MARYSVILLE SUB,Sierra,Marysville,SIERRA,PGE
EAST NICOLAUS SUB,Sierra,E. Nicolaus,SIERRA,PGE
EAST PORTAL SUB,Greater Bay Area,Orinda,DIABLO,PGE
EAST STOCKTON SUB,Stockton,Stockton,STOCKTON,PGE
EAST STOCKTON SUB,Stockton,Garden Acres,STOCKTON,PGE
EAST STOCKTON SUB,Stockton,August,STOCKTON,PGE
EASTSHORE SUB,Greater Bay Area,Hayward,MISSION,PGE
EDENVALE SUB,Greater Bay Area,San Jose,SAN JOSE,PGE
EDES SUB,Greater Bay Area,San Leandro,EAST BAY,PGE
EDES SUB,Greater Bay Area,Oakland,EAST BAY,PGE
EEL RIVER SUB,Humboldt,Humboldt Hill,HUMBOLDT,PGE
EEL RIVER SUB,Humboldt,Ferndale,HUMBOLDT,PGE
EIGHTEENTH STREET SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE
EIGHTH AVE SUB,Greater Bay Area,Oakland,EAST BAY,PGE
EL CAPITAN SUB,Greater Fresno,Merced,YOSEMITE,PGE
EL CERRITO G SUB,Greater Bay Area,El Cerrito,EAST BAY,PGE
EL CERRITO G SUB,Greater Bay Area,San Pablo,EAST BAY,PGE
EL CERRITO G SUB,Greater Bay Area,Rollingwood,EAST BAY,PGE
EL CERRITO G SUB,Greater Bay Area,Richmond,EAST BAY,PGE
EL CERRITO G SUB,Greater Bay Area,Kensington,EAST BAY,PGE
EL CERRITO G SUB,Greater Bay Area,El Cerrito,EAST BAY,PGE
EL CERRITO G SUB,Greater Bay Area,East Richmond Heights,EAST BAY,PGE
EL CERRITO G SUB,Greater Bay Area,Berkeley,EAST BAY,PGE
EL CERRITO G SUB,Greater Bay Area,Albany,EAST BAY,PGE
EL DORADO PH,Sierra,Pollock Pines,SIERRA,nonPGE
EL NIDO SUB,Greater Fresno,Merced,YOSEMITE,PGE
EL PATIO SUB,Greater Bay Area,Santa Clara,DE ANZA,PGE
EL PATIO SUB,Greater Bay Area,San Jose,DE ANZA,PGE
EL PATIO SUB,Greater Bay Area,Fruitdale,DE ANZA,PGE
EL PATIO SUB,Greater Bay Area,Campbell,DE ANZA,PGE
EL PATIO SUB,Greater Bay Area,Burbank,DE ANZA,PGE
EL PECO SUB,Greater Fresno,Madera,YOSEMITE,PGE
ELK SUB,North Coast/North Bay,Elk,NORTH COAST,PGE
ELLIS SUB,Stockton,Tracy,STOCKTON,nonPGE
EMERALD LAKE SUB,Greater Bay Area,Woodside,PENINSULA,PGE
EMERALD LAKE SUB,Greater Bay Area,Redwood City,PENINSULA,PGE
EMERALD LAKE SUB,Greater Bay Area,Emerald Lake Hills,PENINSULA,PGE
ENCINAL SUB,Sierra,Live Oak,SIERRA,PGE
